symbol,date,open,high,low,close
BCH,2017-09-11T00:00:00Z,556.9,590.17,550.1,556.02
BCH,2017-09-12T00:00:00Z,556.02,577.62,530.07,536.96
BCH,2017-09-13T00:00:00Z,536.96,538.98,471.08,506.49
BCH,2017-09-14T00:00:00Z,506.49,515.58,385.45,386.49
BCH,2017-09-15T00:00:00Z,386.49,454.21,301.55,428.88
BCH,2017-09-16T00:00:00Z,428.88,470.7,411.53,443.21
BCH,2017-09-17T00:00:00Z,443.21,450.88,407.81,439.07
BCH,2017-09-18T00:00:00Z,439.07,492.49,438.38,486.03
BCH,2017-09-19T00:00:00Z,486.03,548.13,454.77,530.6
BCH,2017-09-20T00:00:00Z,530.6,530.64,475.32,477.25
BCH,2017-09-21T00:00:00Z,477.25,484.72,413.8,416.13
BCH,2017-09-22T00:00:00Z,416.13,434.17,395.09,409.63
BCH,2017-09-23T00:00:00Z,409.63,436.14,403.33,430.31
BCH,2017-09-24T00:00:00Z,430.31,434.34,416.62,421.19
BCH,2017-09-25T00:00:00Z,421.19,458.18,420.14,450.85
BCH,2017-09-26T00:00:00Z,450.85,463.55,448.95,449.56
BCH,2017-09-27T00:00:00Z,449.56,468.64,439.9,464.14
BCH,2017-09-28T00:00:00Z,464.14,481.59,442.15,458.15
BCH,2017-09-29T00:00:00Z,458.15,459.63,430.44,440.55
BCH,2017-09-30T00:00:00Z,440.55,454.85,433.77,435.95
BCH,2017-10-01T00:00:00Z,435.95,440.56,417.1,418.05
BCH,2017-10-02T00:00:00Z,418.05,432.22,410.32,419.68
BCH,2017-10-03T00:00:00Z,419.68,420.69,393.03,401.41
BCH,2017-10-04T00:00:00Z,401.41,403.22,351.3,355.75
BCH,2017-10-05T00:00:00Z,355.75,368.14,343.72,354.4
BCH,2017-10-06T00:00:00Z,354.4,374.54,352.91,363.22
BCH,2017-10-07T00:00:00Z,363.22,368.17,354.21,359.81
BCH,2017-10-08T00:00:00Z,359.81,363.79,335.7,343.52
BCH,2017-10-09T00:00:00Z,343.52,343.95,282.18,312.43
BCH,2017-10-10T00:00:00Z,312.43,350.11,304.52,317.19
BCH,2017-10-11T00:00:00Z,317.19,320.54,309.23,314.21
BCH,2017-10-12T00:00:00Z,314.21,331.11,306.25,310.56
BCH,2017-10-13T00:00:00Z,310.56,324.32,291.98,320.11
BCH,2017-10-14T00:00:00Z,320.11,327.54,314.65,321.67
BCH,2017-10-15T00:00:00Z,321.67,323.38,307.61,314.1
BCH,2017-10-16T00:00:00Z,314.05,317.85,310.07,313.94
BCH,2017-10-17T00:00:00Z,313.99,399.86,308.23,367.84
BCH,2017-10-18T00:00:00Z,367.94,374.16,305.96,338.72
BCH,2017-10-19T00:00:00Z,338.77,339,323.81,329.66
BCH,2017-10-20T00:00:00Z,329.6,333.91,320.67,326.03
BCH,2017-10-21T00:00:00Z,326.15,329.13,313.13,322.12
BCH,2017-10-22T00:00:00Z,321.94,358.27,318.36,325.88
BCH,2017-10-23T00:00:00Z,324.88,329.97,300.26,312.05
BCH,2017-10-24T00:00:00Z,312.05,337.42,303.73,322.28
BCH,2017-10-25T00:00:00Z,322.72,331.41,315.28,329.47
BCH,2017-10-26T00:00:00Z,329.31,350.73,325.66,335.68
BCH,2017-10-27T00:00:00Z,335.75,373.46,335.63,363.84
BCH,2017-10-28T00:00:00Z,363.82,420.87,363.13,417.22
BCH,2017-10-29T00:00:00Z,416.77,523.08,400.41,451.91
BCH,2017-10-30T00:00:00Z,451.91,482.58,416.06,444.93
BCH,2017-10-31T00:00:00Z,444.93,456.3,426.3,435.48
BCH,2017-11-01T00:00:00Z,435.48,546.11,434.45,529.88
BCH,2017-11-02T00:00:00Z,530.24,593.68,492.39,562.79
BCH,2017-11-03T00:00:00Z,563.21,686.21,558.53,626.04
BCH,2017-11-04T00:00:00Z,626.02,641.55,563.07,614.26
BCH,2017-11-05T00:00:00Z,614.26,637.29,570.83,625.72
BCH,2017-11-06T00:00:00Z,625.72,656.75,588.18,588.68
BCH,2017-11-07T00:00:00Z,588.55,617.44,584.38,603.26
BCH,2017-11-08T00:00:00Z,603.17,644.2,522.79,617.41
BCH,2017-11-09T00:00:00Z,617,675.39,612.32,650.09
BCH,2017-11-10T00:00:00Z,650.09,1029.27,647.39,995.4
BCH,2017-11-11T00:00:00Z,989.87,1414.14,897.92,1325.56
BCH,2017-11-12T00:00:00Z,1325.56,2694.37,1187.01,1374.39
BCH,2017-11-13T00:00:00Z,1369.5,1515.47,1012.22,1346.96
BCH,2017-11-14T00:00:00Z,1346.96,1374.76,1186.56,1251.63
BCH,2017-11-15T00:00:00Z,1251.62,1318.8,1164.95,1187.03
BCH,2017-11-16T00:00:00Z,1185.84,1193.4,873.44,896.51
BCH,2017-11-17T00:00:00Z,897.76,1209.41,856.95,1175.54
BCH,2017-11-18T00:00:00Z,1177.05,1371.18,1174.86,1243.86
BCH,2017-11-19T00:00:00Z,1242.89,1257.17,1132.28,1176.66
BCH,2017-11-20T00:00:00Z,1177.07,1252.75,1170.82,1245.28
BCH,2017-11-21T00:00:00Z,1245.28,1247.73,1146.25,1169.9
BCH,2017-11-22T00:00:00Z,1169.9,1346.06,1164.3,1298.62
BCH,2017-11-23T00:00:00Z,1297.83,1663.3,1293.66,1662.21
BCH,2017-11-24T00:00:00Z,1662.4,1765.76,1529.13,1625.05
BCH,2017-11-25T00:00:00Z,1625.05,1635.9,1517.64,1546.22
BCH,2017-11-26T00:00:00Z,1546.46,1729,1528.69,1719.36
BCH,2017-11-27T00:00:00Z,1718.73,1720.27,1557.31,1587.66
BCH,2017-11-28T00:00:00Z,1587.58,1592.39,1469.1,1481.93
BCH,2017-11-29T00:00:00Z,1481.92,1627.86,1277.59,1333.15
BCH,2017-11-30T00:00:00Z,1333.52,1415.75,1174.84,1318.42
